subject,stimulus,response,reactionTime
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,stern_Wrong_1054,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,star_Right_093,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,radio_Wrong_1025,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,scrap_Wrong_Michael,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,fur_Right_Derek,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,tear_Wrong_WS,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,dream_Right_Autumn,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,candybar_Right_1029,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rocket_Right_1039,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,roots_Wrong_1045,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,bar_Wrong_Percy,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,shirt_Right_1019,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,truck_Wrong_1056,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,work_Wrong_1032,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,roses_Wrong_1042,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rhino_Right_1019,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,broom_Right_Autumn,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,thirsty_Wrong_1036,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,stir_Right_PhilMN3,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,gravy_Right_1035,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rope_Wrong_1032,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,row_Wrong_Percy,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,rat_Right_1036,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,chandelier_Right_1035,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,air_Right_C81,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,red_Right_GS,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,work_Wrong_1055,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,deer_Wrong_C66,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,freckles_Wrong_1054,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,certain_Wrong_1053,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,earn_Right_1027,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,robin_Right_1058,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,her_Right_Autumn,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,raisins_Wrong_1054,,0
_EXPERIMENTMFC_CATEGORY_GOODNESS_CRESULTS,crutches_Right_1019,,0
